Complex ID,GTFS Longitude,GTFS Latitude
461,-73.940202,40.750582
461,-73.940202,40.750582
606,-73.945264,40.747023
463,-73.948916,40.742216
464,-73.953581,40.742626
610,-73.97604100000001,40.751431
609,-73.98196300000001,40.753821
611,-73.987691,40.755477
611,-73.98622900000001,40.755983
610,-73.979189,40.752769
471,-74.00191,40.755882
475,-73.947152,40.784318
476,-73.951787,40.777891
477,-73.958424,40.768799
501,-74.073643,40.643747999999995
502,-74.074835,40.636949
503,-74.075162,40.627915
504,-74.071402,40.621319
505,-74.084087,40.603117
506,-74.08736800000001,40.596612
507,-74.09609,40.588848999999996
508,-74.103338,40.583591
509,-74.10970400000001,40.578965000000004
510,-74.11721,40.573479999999996
511,-74.12631999999999,40.56511
512,-74.136907,40.5564
513,-74.151399,40.551231
514,-74.16457,40.544601
515,-74.178217,40.540459999999996
516,-74.19179399999999,40.533674
517,-74.200064,40.525507
518,-74.21784699999999,40.52241
519,-74.229141,40.519631
522,-74.251961,40.512764000000004
523,-74.24209599999999,40.516578
